id,aegis_name,name,level,hp,sp,base_exp,job_exp,attack_min,attack_max,defense,magic_defense,str,agi,vit,int,dex,luk,size,race,element,element_level,attack_range,walk_speed,attack_delay,attack_motion,damage_motion,ai,class,modes,drop_count,mvp_drop_count
1046,DOPPELGANGER,Doppelganger,72,249000,1,51480,10725,1340,1590,60,35,88,90,30,35,125,65,Medium,Demon,Dark,3,1,100,480,480,288,21,Boss,Mvp,8,2
1047,PECOPECO_EGG,Peco Peco Egg,3,420,1,4,4,1,2,20,20,1,1,1,0,1,20,Small,Formless,Neutral,3,0,1000,1001,1,1,06,Normal,,8,0
1048,THIEF_BUG_EGG,Thief Bug Egg,4,48,1,8,4,13,17,20,0,1,6,4,0,14,20,Small,Insect,Dark,1,0,1000,701,1,1,06,Normal,Detector,8,0
1049,PICKY,Picky,3,80,1,4,3,9,12,0,0,1,3,3,5,10,30,Small,Brute,Fire,1,1,200,988,288,168,1,Normal,,7,0
1050,PICKY_,Picky,4,83,1,5,4,8,11,20,0,1,3,3,10,11,20,Small,Brute,Fire,1,1,200,988,288,168,1,Normal,,8,0
1051,THIEF_BUG,Thief Bug,6,126,1,17,5,18,24,5,0,1,6,6,0,11,0,Small,Insect,Neutral,3,1,150,1288,288,768,7,Normal,Detector,7,0
1052,ROCKER,Rocker,9,198,1,20,16,24,29,5,10,1,9,18,10,14,15,Medium,Insect,Earth,1,1,200,1864,864,540,1,Normal,Detector,8,0
1053,THIEF_BUG_,Thief Bug Female,10,170,1,35,18,33,40,5,5,1,15,10,5,23,5,Medium,Insect,Dark,1,1,200,988,288,768,7,Normal,Detector,8,0
1054,THIEF_BUG__,Thief Bug Male,19,583,1,223,93,76,88,15,5,1,29,16,5,36,0,Medium,Insect,Dark,1,1,300,988,288,768,13,Normal,Detector,8,0
1055,MUKA,Muka,17,610,1,273,120,40,49,5,5,15,15,30,5,20,10,Large,Plant,Earth,1,1,300,1960,960,384,1,Normal,,8,0
1056,SMOKIE,Smokie,18,641,1,134,86,61,72,0,10,1,18,36,25,26,35,Small,Brute,Earth,1,1,200,1576,576,420,17,Normal,,8,0
1057,YOYO,Yoyo,21,879,1,280,111,71,82,0,0,1,24,30,35,32,55,Small,Brute,Earth,1,1,200,1054,54,384,7,Normal,,8,0
1058,METALLER,Metaller,22,926,1,241,152,131,159,15,30,1,22,22,20,49,50,Medium,Insect,Fire,1,1,200,1708,1008,540,7,Normal,Detector,8,0
1059,MISTRESS,Mistress,74,212000,1,39325,27170,880,1110,40,60,50,165,60,95,70,130,Small,Insect,Wind,4,1,100,1148,648,300,21,Boss,Mvp,8,3
1060,BIGFOOT,Bigfoot,25,1619,1,310,188,198,220,10,0,1,25,55,15,20,25,Large,Brute,Earth,1,1,300,1260,192,192,17,Normal,,8,0
1061,NIGHTMARE,Nightmare,49,4437,1,1912,1912,447,529,0,40,1,74,25,15,64,10,Large,Demon,Ghost,3,1,150,1816,816,432,20,Normal,Detector,8,0
1062,PORING_,Santa Poring,3,69,1,4,5,12,16,0,0,1,14,3,10,12,90,Medium,Plant,Holy,1,1,400,1672,672,480,1,Normal,,7,0
1063,LUNATIC,Lunatic,3,60,1,6,2,9,12,0,20,1,3,3,10,8,60,Small,Brute,Neutral,3,1,200,1456,456,336,1,Normal,,8,0
1064,MEGALODON,Megalodon,24,1648,1,215,132,155,188,0,15,1,12,24,0,26,5,Medium,Undead,Undead,1,1,200,2492,792,432,1,Normal,,8,0
1065,STROUF,Strouf,48,11990,1,3080,2098,200,1250,5,50,1,40,45,92,43,65,Large,Fish,Water,3,1,150,1872,672,384,4,Normal,,8,0
1066,VADON,Vadon,19,1017,1,135,85,74,85,20,0,1,19,16,10,36,15,Small,Fish,Water,1,1,300,1632,432,540,17,Normal,,8,0
1067,CORNUTUS,Cornutus,23,1620,1,240,149,109,131,30,0,1,23,23,5,36,12,Small,Fish,Water,1,1,200,1248,48,480,17,Normal,,8,0
1068,HYDRA,Hydra,14,660,1,59,40,22,28,0,40,1,14,14,0,40,2,Small,Plant,Water,2,7,1000,800,432,600,10,Normal,,7,0
1069,SWORD_FISH,Swordfish,30,4299,1,1251,638,168,199,5,20,1,30,30,41,62,30,Large,Fish,Water,2,1,200,1968,768,384,4,Normal,,8,0
1070,KUKRE,Kukre,11,507,1,38,28,28,37,15,0,1,11,11,5,16,2,Small,Fish,Water,1,1,150,1776,576,288,2,Normal,,8,0
1071,PIRATE_SKEL,Pirate Skeleton,25,1676,1,233,142,145,178,10,15,25,13,25,5,25,10,Medium,Undead,Undead,1,1,200,1754,554,288,4,Normal,,8,0
1072,KAHO,Kaho,60,8409,1,3990,450,110,760,5,50,1,55,43,88,80,46,Medium,Demon,Fire,4,1,150,1700,1000,500,4,Normal,Detector,8,0
1073,CRAB,Crab,20,2451,1,163,101,71,81,35,0,18,20,15,0,36,15,Small,Fish,Water,1,1,200,992,792,360,1,Normal,,6,0
1074,SHELLFISH,Shellfish,15,920,1,66,44,35,42,35,0,1,12,8,0,32,5,Small,Fish,Water,1,1,200,864,864,384,17,Normal,,7,0
1076,SKELETON,Skeleton,10,234,1,18,14,39,47,10,10,1,5,10,0,12,0,Medium,Undead,Undead,1,1,200,2228,528,576,17,Normal,,7,0
1077,POISON_SPORE,Poison Spore,19,665,1,186,93,89,101,0,0,1,19,25,0,24,0,Medium,Plant,Poison,1,1,200,1672,672,288,4,Normal,,8,0
1078,RED_PLANT,Red Plant,1,10,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1079,BLUE_PLANT,Blue Plant,1,10,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1080,GREEN_PLANT,Green Plant,1,10,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1081,YELLOW_PLANT,Yellow Plant,1,10,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1082,WHITE_PLANT,White Plant,1,10,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1083,SHINING_PLANT,Shining Plant,1,20,1,0,0,1,2,100,99,0,0,0,0,0,90,Small,Plant,Holy,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1084,BLACK_MUSHROOM,Black Mushroom,1,15,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1085,RED_MUSHROOM,Red Mushroom,1,15,1,0,0,1,2,100,99,0,0,0,0,0,0,Small,Plant,Earth,1,1,1000,1,1,1,06,Normal,"IgnoreMagic, IgnoreMelee, IgnoreMisc, IgnoreRanged",8,0
1086,GOLDEN_BUG,Golden Thief Bug,64,126000,1,14300,7150,870,1145,60,45,65,75,35,45,85,150,Large,Insect,Fire,2,1,100,768,768,480,7,Boss,Mvp,8,2
1087,ORK_HERO,Orc Hero,77,585700,1,58630,32890,2257,2542,40,45,1,91,30,70,105,90,Large,Demihuman,Earth,2,1,150,1678,780,648,21,Boss,Mvp,8,3
1088,VOCAL,Vocal,18,3016,1,110,88,71,82,10,30,77,28,26,30,53,40,Medium,Insect,Earth,1,1,200,1080,648,480,21,Normal,Detector,8,0
1089,TOAD,Toad,10,5065,1,100,50,26,32,0,0,1,5,10,10,10,25,Medium,Fish,Water,1,1,200,1236,336,432,21,Boss,,8,0
1090,MASTERING,Mastering,2,2415,1,30,10,18,24,0,10,1,2,2,0,17,60,Medium,Plant,Water,1,1,300,1072,672,480,21,Boss,,8,0
1091,DRAGON_FLY,Dragon Fly,8,2400,1,88,44,22,27,40,0,1,20,8,15,17,5,Small,Insect,Wind,1,1,100,1076,576,480,21,Boss,,8,0
1092,VAGABOND_WOLF,Vagabond Wolf,24,12240,1,247,176,135,159,10,0,57,45,48,20,50,65,Medium,Brute,Earth,1,1,150,1048,648,432,21,Boss,,8,0
1093,ECLIPSE,Eclipse,6,1800,1,60,55,20,26,0,40,1,36,6,0,11,80,Medium,Brute,Neutral,3,1,200,1456,456,336,21,Boss,,8,0
1094,AMBERNITE,Ambernite,13,495,1,57,38,39,46,30,0,1,13,13,5,18,5,Large,Insect,Water,1,1,400,2048,648,648,17,Normal,Detector,8,0
1095,ANDRE,Andre,17,688,1,109,71,60,71,10,0,1,17,24,20,26,20,Small,Insect,Earth,1,1,300,1288,288,384,7,Normal,Detector,8,0
1096,ANGELING,Angeling,20,55000,1,163,144,120,195,0,70,1,50,20,75,68,200,Medium,Angel,Holy,4,1,200,1072,672,672,21,Boss,,8,0
1097,ANT_EGG,Ant Egg,4,420,1,5,4,1,2,20,20,1,1,1,0,1,20,Small,Formless,Neutral,3,0,1000,1001,1,1,06,Normal,,7,0
1098,ANUBIS,Anubis,75,38000,1,28000,22000,530,1697,25,31,5,65,10,82,77,33,Large,Demihuman,Undead,2,1,150,1250,768,360,21,Normal,,8,0
1099,ARGIOPE,Argiope,41,4382,1,1797,849,395,480,30,0,1,41,31,10,56,30,Large,Insect,Poison,1,1,300,1792,792,336,21,Normal,Detector,7,0
1100,ARGOS,Argos,25,1117,1,388,188,158,191,15,0,1,25,25,5,32,15,Large,Insect,Poison,1,1,300,1468,468,768,09,Normal,Detector,8,0
1101,BAPHOMET_,Baphomet Jr.,50,8578,1,2706,1480,487,590,15,25,1,75,55,1,93,45,Small,Demon,Dark,1,1,100,868,480,120,21,Normal,Detector,8,0
1102,BATHORY,Bathory,44,5415,1,2503,1034,198,398,0,60,1,76,24,85,65,15,Medium,Demihuman,Dark,1,1,100,1504,840,900,21,Normal,,8,0
1103,CARAMEL,Caramel,23,1424,1,264,162,90,112,5,5,35,23,46,5,38,10,Small,Brute,Earth,1,1,200,1604,840,756,17,Normal,,7,0
1104,COCO,Coco,17,817,1,120,78,56,67,0,0,24,17,34,20,24,10,Small,Brute,Earth,1,1,150,1864,864,1008,17,Normal,,8,0
1105,DENIRO,Deniro,19,760,1,135,85,68,79,15,0,1,19,30,20,43,10,Small,Insect,Earth,1,1,150,1288,288,576,7,Normal,Detector,8,0
1106,DESERT_WOLF,Desert Wolf,27,1716,1,427,266,169,208,0,10,56,27,45,15,56,10,Medium,Brute,Fire,1,1,200,1120,420,288,13,Normal,,8,0
1107,DESERT_WOLF_B,Baby Desert Wolf,9,164,1,20,16,30,36,0,0,1,9,9,5,21,40,Small,Brute,Fire,1,1,300,1600,900,240,3,Normal,,8,0
1108,DEVIACE,Deviace,47,20090,1,9988,7207,514,1024,10,20,1,47,62,48,62,25,Medium,Fish,Water,4,1,400,1680,480,384,17,Normal,,8,0
1109,DEVIRUCHI,Deviruchi,46,6666,1,2662,1278,475,560,10,25,1,69,40,55,70,30,Small,Demon,Dark,1,1,150,980,600,384,21,Normal,Detector,8,0
1110,DOKEBI,Dokebi,33,2697,1,889,455,197,249,0,10,50,50,40,35,69,40,Small,Demon,Dark,1,1,250,1156,456,384,17,Normal,Detector,8,0
1111,DRAINLIAR,Drainliar,24,1162,1,431,176,74,84,0,0,1,36,24,0,78,0,Small,Brute,Dark,2,1,250,1276,576,384,09,Normal,,8,0
1112,DRAKE,Drake,70,326666,1,28600,22880,1800,2100,20,35,85,80,49,75,79,50,Medium,Undead,Undead,1,1,400,620,420,360,21,Boss,Mvp,8,2
1113,DROPS,Drops,3,55,1,4,3,10,13,0,0,1,3,3,0,12,15,Medium,Plant,Fire,1,1,400,1372,672,480,2,Normal,,8,0
1114,DUSTINESS,Dustiness,21,1044,1,218,140,80,102,0,10,1,53,17,0,38,5,Small,Insect,Wind,2,1,150,1004,504,384,17,Normal,Detector,7,0
1115,EDDGA,Eddga,65,152000,1,25025,12870,1215,1565,15,15,78,70,85,66,90,85,Large,Brute,Fire,1,1,300,872,1344,432,21,Boss,Mvp,8,3
1116,EGGYRA,Eggyra,24,633,1,215,220,85,107,20,25,1,36,24,0,32,0,Medium,Formless,Ghost,2,1,200,1816,816,288,17,Normal,,8,0
1117,EVIL_DRUID,Evil Druid,58,16506,1,2890,1827,420,670,5,60,1,29,58,80,68,30,Large,Undead,Undead,4,1,300,2276,576,336,21,Normal,,8,0
1118,FLORA,Flora,26,2092,1,357,226,242,273,10,35,1,26,35,5,43,80,Large,Plant,Earth,1,3,1000,1432,432,576,10,Normal,,8,0
1119,FRILLDORA,Frilldora,30,2023,1,529,319,200,239,0,10,35,30,38,15,53,30,Medium,Brute,Fire,1,1,300,1540,720,432,4,Normal,,8,0
1120,GHOSTRING,Ghostring,18,73300,1,101,108,82,122,0,60,40,27,18,45,72,30,Medium,Demon,Ghost,4,1,300,1220,1080,648,21,Boss,,8,0
1121,GIEARTH,Giearth,29,2252,1,495,301,154,185,10,50,25,29,46,60,64,105,Small,Demon,Earth,1,1,200,1848,1296,432,17,Normal,Detector,7,0
1122,GOBLIN_1,Goblin,25,1176,1,310,188,118,140,10,5,1,53,25,20,38,10,Medium,Demihuman,Wind,1,1,100,1120,620,240,21,Normal,,8,0
1123,GOBLIN_2,Goblin,24,1034,1,287,176,88,100,10,5,1,24,24,15,66,10,Medium,Demihuman,Fire,1,1,150,1320,620,240,09,Normal,,8,0
1124,GOBLIN_3,Goblin,24,1034,1,357,176,132,165,10,5,1,24,24,15,24,10,Medium,Demihuman,Poison,1,1,250,1624,624,240,13,Normal,,8,0
1125,GOBLIN_4,Goblin,23,1359,1,264,164,109,131,10,5,1,23,46,15,36,10,Medium,Demihuman,Earth,1,1,200,1624,624,240,13,Normal,,8,0
1126,GOBLIN_5,Goblin,22,1952,1,241,152,105,127,10,5,1,22,22,15,32,10,Medium,Demihuman,Water,1,1,300,3074,1874,480,13,Normal,,8,0
1127,HODE,Hode,26,2282,1,550,300,146,177,0,30,1,26,42,5,49,40,Medium,Brute,Earth,2,1,200,1480,480,720,1,Normal,,8,0
1128,HORN,Horn,18,659,1,134,86,58,69,10,0,22,18,28,10,47,15,Medium,Insect,Earth,1,1,200,1528,528,288,17,Normal,Detector,7,0
1129,HORONG,Horong,34,1939,1,786,479,275,327,99,50,1,34,10,0,50,0,Small,Formless,Fire,4,1,400,1888,1152,828,13,Normal,,8,0
1130,JAKK,Jakk,38,3581,1,1408,880,315,382,5,30,1,38,38,43,75,45,Medium,Formless,Fire,2,1,200,1180,480,648,21,Normal,,7,0
1131,JOKER,Joker,57,12450,1,3706,2362,621,738,10,35,1,143,47,75,98,175,Large,Demihuman,Wind,4,1,100,1364,864,432,21,Normal,,8,0
1132,KHALITZBURG,Khalitzburg,63,19276,1,4378,2750,875,1025,45,10,58,65,48,5,73,40,Large,Undead,Undead,1,1,350,528,1000,396,21,Normal,,8,0
1133,KOBOLD_1,Kobold,36,3893,1,988,625,265,318,15,10,1,90,36,30,52,20,Medium,Demihuman,Wind,2,1,150,1028,528,360,13,Normal,,7,0
1134,KOBOLD_2,Kobold,31,2179,1,806,407,262,324,15,10,1,31,31,20,46,20,Medium,Demihuman,Poison,2,1,200,1528,528,360,13,Normal,,7,0
1135,KOBOLD_3,Kobold,31,2179,1,644,407,186,216,15,10,1,31,31,20,88,20,Medium,Demihuman,Fire,2,1,300,1228,528,360,13,Normal,,8,0
1138,MAGNOLIA,Magnolia,26,3195,1,393,248,120,151,5,30,1,26,26,0,39,5,Small,Demon,Water,1,1,250,1560,360,360,2,Normal,Detector,8,0
1139,MANTIS,Mantis,26,2472,1,393,248,118,149,10,0,1,26,24,5,45,15,Medium,Insect,Earth,1,1,200,1528,660,432,09,Normal,Detector,8,0
1140,MARDUK,Marduk,40,4214,1,1238,752,315,382,0,60,1,40,20,79,78,20,Large,Demihuman,Fire,1,1,300,1540,840,504,09,Normal,,8,0
1141,MARINA,Marina,21,2087,1,218,140,84,106,0,5,1,21,21,0,36,10,Small,Plant,Water,2,1,400,2280,1080,864,1,Normal,,7,0
1142,MARINE_SPHERE,Marine Sphere,28,3518,1,461,284,120,320,0,40,1,28,28,0,33,50,Small,Plant,Water,2,1,800,1201,1,1,06,Normal,,7,0
1143,MARIONETTE,Marionette,41,3222,1,1078,1276,355,422,0,25,1,62,36,44,69,45,Small,Demon,Ghost,3,1,300,1480,480,1056,09,Normal,Detector,8,0
1144,MARSE,Marse,31,5034,1,586,370,211,252,0,5,1,31,25,5,52,30,Small,Fish,Water,2,1,300,1956,756,528,17,Normal,,8,0
1145,MARTIN,Martin,18,1109,1,134,86,52,63,0,5,12,18,30,15,15,5,Small,Brute,Earth,2,1,300,1480,480,480,1,Normal,,8,0
1146,MATYR,Matyr,31,2585,1,967,407,134,160,0,0,1,47,38,5,64,5,Medium,Brute,Dark,1,1,150,432,432,360,09,Normal,,7,0
1147,MAYA,Maya,81,169000,1,42900,17875,1800,2070,60,25,95,97,76,95,82,105,Large,Insect,Earth,4,1,100,864,1000,480,21,Boss,Mvp,8,3
1148,MEDUSA,Medusa,79,16408,1,6876,4697,827,1100,28,18,1,74,50,57,77,69,Medium,Demon,Neutral,2,1,180,1720,1320,360,21,Normal,Detector,8,0
1149,MINOROUS,Minorous,52,7431,1,2750,1379,590,770,15,5,65,42,61,66,52,25,Large,Brute,Fire,2,1,200,1360,960,432,09,Normal,,8,0
1150,MOONLIGHT,Moonlight Flower,67,120000,1,27500,14300,1200,1700,10,55,55,99,55,82,95,120,Medium,Demon,Fire,3,1,150,1276,576,288,21,Boss,Mvp,8,3
1151,MYST,Myst,38,3745,1,1391,688,365,445,0,40,1,38,18,0,53,10,Large,Formless,Poison,1,1,200,1576,576,384,21,Normal,,8,0
1152,ORC_SKELETON,Orc Skeleton,28,2278,1,315,194,190,236,10,10,1,14,18,0,30,15,Medium,Undead,Undead,1,1,200,2420,720,648,4,Normal,,7,0
1153,ORC_ZOMBIE,Orc Zombie,24,1568,1,196,120,151,184,5,10,1,12,24,0,24,5,Medium,Undead,Undead,1,1,400,2852,1152,840,4,Normal,,4,0
1154,PASANA,Pasana,61,8289,1,4087,2135,513,682,29,35,1,73,50,61,59,43,Medium,Demihuman,Fire,2,1,165,976,576,288,09,Normal,,7,0
1155,PETIT,Petite,44,6881,1,1677,1034,360,427,30,30,1,44,62,55,79,60,Medium,Dragon,Earth,1,1,200,1624,620,384,09,Normal,,8,0
1156,PETIT_,Petite,45,5747,1,1758,1075,300,355,20,45,1,113,45,55,73,80,Medium,Dragon,Wind,1,1,150,1420,1080,528,09,Normal,,8,0
1157,PHARAOH,Pharaoh,93,445997,1,114990,41899,2267,3015,67,70,1,93,100,104,89,112,Large,Demihuman,Dark,3,1,125,868,768,288,21,Boss,Mvp,8,3
1158,PHEN,Phen,26,3347,1,357,226,138,150,0,15,1,26,26,0,88,75,Medium,Fish,Water,2,1,150,2544,1344,1152,17,Normal,,7,0
1159,PHREEONI,Phreeoni,69,188000,1,32175,16445,880,1530,10,20,1,85,78,35,130,60,Large,Brute,Neutral,3,1,200,1020,1020,288,21,Boss,Mvp,8,3
1160,PIERE,Piere,18,733,1,122,78,64,75,15,0,1,18,26,20,27,15,Small,Insect,Earth,1,1,200,1288,288,576,7,Normal,Detector,8,0
1161,PLANKTON,Plankton,10,354,1,23,18,26,31,0,5,1,10,10,0,15,0,Small,Plant,Water,3,1,400,2208,1008,324,1,Normal,,8,0
1162,RAFFLESIA,Rafflesia,17,1333,1,333,333,105,127,0,2,1,18,24,11,37,10,Small,Plant,Earth,1,3,150,512,528,240,4,Normal,,8,0
1163,RAYDRIC,Raydric,52,8613,1,3410,1795,830,930,40,15,58,47,42,5,69,26,Large,Demihuman,Dark,2,1,150,824,780,420,09,Normal,,8,0
1164,REQUIEM,Requiem,35,3089,1,800,458,220,272,0,15,1,53,35,5,57,2,Medium,Demihuman,Dark,1,1,400,1516,816,432,4,Normal,,8,0
1165,SAND_MAN,Sandman,34,3413,1,810,492,180,205,10,25,24,34,58,38,60,5,Medium,Formless,Earth,3,1,250,1672,720,288,4,Normal,,8,0
1166,SAVAGE,Savage,26,2092,1,521,248,120,150,10,5,1,26,54,10,37,15,Large,Brute,Earth,2,1,150,1960,960,384,17,Normal,,8,0
1167,SAVAGE_BABE,Savage Babe,7,182,1,14,12,20,25,0,0,1,7,14,5,12,35,Small,Brute,Earth,1,1,400,1624,624,576,1,Normal,,8,0
1169,SKEL_WORKER,Skeleton Worker,30,2872,1,397,240,242,288,0,15,1,15,30,5,42,10,Medium,Undead,Undead,1,1,400,2420,720,384,4,Normal,,8,0
1170,SOHEE,Sohee,33,5628,1,739,455,210,251,0,10,1,33,33,10,58,15,Medium,Demon,Water,1,1,250,2112,912,576,17,Normal,Detector,8,0
1174,STAINER,Stainer,16,538,1,105,70,53,64,10,0,1,40,16,5,30,5,Small,Insect,Wind,1,1,200,1688,1188,612,17,Normal,Detector,8,0
