id,aegis_name,name,type,sub_type,buy,sell,weight,attack,magic_attack,defense,range,slots,weapon_level,armor_level,equip_level_min,equip_level_max,refineable,jobs,classes,gender,locations,script,equip_script,unequip_script
1113,Scimiter,Scimitar,Weapon,1hSword,17000,,700,85,0,0,1,2,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1114,Scimiter_,Scimitar,Weapon,1hSword,17000,,700,85,0,0,1,3,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1115,Scimiter__,Scimitar,Weapon,1hSword,17000,,700,85,0,0,1,3,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,,,
1116,Katana,Katana,Weapon,2hSword,2000,,1000,60,0,0,1,3,1,,4,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1117,Katana_,Katana,Weapon,2hSword,2000,,1000,60,0,0,1,4,1,,4,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1118,Katana__,Katana,Weapon,2hSword,2000,,1000,60,0,0,1,0,1,,4,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1119,Tsurugi,Tsurugi,Weapon,1hSword,51000,,1200,130,0,0,1,1,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1120,Tsurugi_,Tsurugi,Weapon,1hSword,51000,,1200,130,0,0,1,2,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1121,Tsurugi__,Tsurugi,Weapon,1hSword,51000,,1200,130,0,0,1,0,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1122,Ring_Pommel_Saber,Ring Pommel Saber,Weapon,1hSword,24000,,900,100,0,0,1,2,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1123,Haedonggum,Haedonggum,Weapon,1hSword,50000,,900,120,0,0,1,1,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bInt,3;
",,
1124,Orcish_Sword,Orcish Sword,Weapon,1hSword,20,,800,90,0,0,1,0,3,,5,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Novice, Rogue, SuperNovice, Swordman, Thief",All,Both,Right_Hand,"bonus bUnbreakableWeapon;
",,
1125,Ring_Pommel_Saber_,Ring Pommel Saber,Weapon,1hSword,24000,,900,100,0,0,1,3,2,,14,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1126,Saber,Saber,Weapon,1hSword,49000,,1000,115,0,0,1,2,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1127,Saber_,Saber,Weapon,1hSword,49000,,1000,115,0,0,1,3,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,,,
1128,Hae_Dong_Gum_,Haedonggum,Weapon,1hSword,50000,,900,120,0,0,1,2,3,,27,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bInt,3;
",,
1129,Flamberge,Flamberge,Weapon,1hSword,60000,,1500,150,0,0,1,0,3,,27,0,True,"Crusader, Knight",All,Both,Right_Hand,,,
1130,Nagan,Nagan,Weapon,1hSword,20,,500,120,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"skill ""TF_DOUBLE"",5;
bonus2 bAddRace,RC_DemiHuman,5;
bonus2 bAddRace,RC_Player_Human,5;
",,
1131,Ice_Falchon,Ice Falchion,Weapon,1hSword,20,,600,100,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Water;
bonus2 bAddEff,Eff_Freeze,500;
bonus2 bAddEff2,Eff_Freeze,10;
skill ""MG_COLDBOLT"",3;
bonus3 bAutoSpell,""MG_COLDBOLT"",3,100;
",,
1132,Edge,Edge,Weapon,1hSword,20,,700,115,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus2 bAddEff,Eff_Curse,30;
bonus2 bComaClass,Class_Normal,10;
",,
1133,Fire_Brand,Fireblend,Weapon,1hSword,20,,500,100,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Fire;
skill ""MG_FIREBOLT"",3;
bonus3 bAutoSpell,""MG_FIREBOLT"",3,100;
",,
1134,Scissores_Sword,Caesar's Sword,Weapon,1hSword,20,,700,140,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus2 bAddRace,RC_Plant,25;
bonus bIgnoreDefRace,RC_Plant;
",,
1135,Cutlas,Cutlus,Weapon,1hSword,20,,900,150,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"skill ""SM_BASH"",5;
bonus bStr,2;
bonus bDef,1;
",,
1136,Solar_Sword,Solar Sword,Weapon,1hSword,20,,1200,85,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Fire;
bonus2 bHPDrainRate,1000,1;
bonus2 bSPLossRate,15,10000;
",,
1137,Excalibur,Excalibur,Weapon,1hSword,20,,1200,150,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bInt,5;
bonus bLuk,10;
bonus bDex,-1;
bonus bAtkEle,Ele_Holy;
",,
1138,Mysteltainn_,Mysteltainn,Weapon,1hSword,20,,1000,170,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Dark;
bonus2 bAddEle,Ele_Ghost,15;
bonus3 bAutoSpell,""MG_STONECURSE"",3,100;
bonus2 bAddEff,Eff_Stone,10;
bonus bDex,3;
",,
1139,Tale_Fing_,Tirfing,Weapon,1hSword,20,,1000,200,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Dark;
bonus2 bHPLossRate,35,10000;
",,
1140,Byeorrun_Gum,Byeollungum,Weapon,1hSword,20,,900,150,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus2 bSubClass,Class_Normal,-10;
bonus2 bAddClass,Class_Boss,50;
bonus bAllStats,2;
",,
1141,Immaterial_Sword,Immaterial Sword,Weapon,1hSword,20,,900,140,0,0,1,0,4,,40,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Ghost;
bonus2 bSPVanishRate,30,30;
bonus bSPDrainValue,-1;
bonus bUnbreakableWeapon;
",,
1142,Jewel_Sword,Jeweled Sword,Weapon,1hSword,20,,2200,104,0,0,1,0,3,,68,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus2 bAddMonsterDropItemGroup,IG_Jewel,10000;
",,
1143,Gaia_Sword,Gaia Sword,Weapon,1hSword,20,,2500,140,0,0,1,0,3,,74,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus2 bAddMonsterDropItemGroup,IG_Ore,10000;
",,
1144,Sasimi,Sashimi,Weapon,1hSword,20,,1400,75,0,0,1,0,3,,48,0,True,"Alchemist, Assassin, Blacksmith, Crusader, Knight, Merchant, Rogue, Swordman, Thief",All,Both,Right_Hand,"bonus bAtkEle,Ele_Wind;
bonus3 bAddMonsterDropItem,544,RC_Fish,4000;
",,
1145,Holy_Avenger,Holy Avenger,Weapon,1hSword,450000,,1350,125,0,0,1,0,3,,75,0,True,Crusader,All,Both,Right_Hand,"bonus bAtkEle,Ele_Holy;
bonus bVit,2;
",,
1146,Town_Sword,Town Sword,Weapon,1hSword,42000,,800,100,0,0,1,1,3,,30,0,True,"Novice, SuperNovice",All,Both,Right_Hand,,,
1147,Town_Sword_,Town Sword,Weapon,1hSword,42000,,800,100,0,0,1,2,3,,30,0,True,"Novice, SuperNovice",All,Both,Right_Hand,,,
1148,Star_Dust_Blade,Star Dust Blade,Weapon,1hSword,20,,1000,140,0,0,1,1,4,,45,0,True,"Novice, SuperNovice",All,Both,Right_Hand,"bonus2 bAddEff,Eff_Stun,500;
bonus bUnbreakableWeapon;
",,
1149,Flamberge_,Flamberge,Weapon,1hSword,60000,,1500,150,0,0,1,2,3,,27,0,True,"Crusader, Knight",All,Both,Right_Hand,,,
1151,Slayer,Slayer,Weapon,2hSword,15000,,1300,90,0,0,1,2,2,,18,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1152,Slayer_,Slayer,Weapon,2hSword,15000,,1300,90,0,0,1,3,2,,18,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1153,Slayer__,Slayer,Weapon,2hSword,15000,,1300,90,0,0,1,0,2,,18,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1154,Bastard_Sword,Bastard Sword,Weapon,2hSword,22500,,1600,115,0,0,1,2,2,,18,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1155,Bastard_Sword_,Bastard Sword,Weapon,2hSword,22500,,1600,115,0,0,1,3,2,,18,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1156,Bastard_Sword__,Bastard Sword,Weapon,2hSword,22500,,1600,115,0,0,1,0,2,,18,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1157,Two_Hand_Sword,Two-Handed Sword,Weapon,2hSword,60000,,2200,160,0,0,1,1,3,,33,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1158,Two_Hand_Sword_,Two-Handed Sword,Weapon,2hSword,60000,,2200,160,0,0,1,2,3,,33,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1159,Two_Hand_Sword__,Two-Handed Sword,Weapon,2hSword,60000,,2200,160,0,0,1,0,3,,33,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,,,
1160,Broad_Sword,Broad Sword,Weapon,2hSword,65000,,2000,140,0,0,1,1,3,,33,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bDef,5;
bonus bUnbreakableWeapon;
",,
1161,Balmung,Balmung,Weapon,2hSword,20,,1000,250,0,0,1,0,4,,48,0,True,All,All,Both,Both_Hand,"bonus bUnbreakableWeapon;
bonus bAtkEle,Ele_Holy;
",,
1162,Broad_Sword_,Broad Sword,Weapon,2hSword,65000,,2000,140,0,0,1,2,3,,33,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bDef,5;
bonus bUnbreakableWeapon;
",,
1163,Claymore,Claymore,Weapon,2hSword,74000,,2500,180,0,0,1,0,3,,33,0,True,"Crusader, Knight",All,Both,Both_Hand,,,
1164,Muramasa,Muramasa,Weapon,2hSword,20,,1000,155,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bCritical,30;
bonus bAspdRate,8;
bonus2 bAddEff2,Eff_Curse,10;
",,
1165,Masamune,Masamune,Weapon,2hSword,20,,1000,200,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bFlee,30;
bonus bStr,-5;
bonus bAspd,2;
bonus bDefRate,-67;
bonus bDef2Rate,-67;
",,
1166,Dragon_Slayer,Dragon Slayer,Weapon,2hSword,20,,1300,150,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bIgnoreDefRace,RC_Dragon;
bonus2 bAddRace,RC_Dragon,15;
",,
1167,Schweizersabel,Schweizersabel,Weapon,2hSword,20,,1600,160,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bAtkEle,Ele_Wind;
bonus bDef,1;
bonus3 bAutoSpell,""MG_LIGHTNINGBOLT"",3,100;
",,
1168,Zweihander,Zweihander,Weapon,2hSword,20,,2200,200,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bUnbreakableWeapon;
",,
1169,Executioner_,Executioner,Weapon,2hSword,20,,2200,155,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 bAddRace,RC_DemiHuman,20;
bonus2 bAddRace,RC_Player_Human,20;
bonus2 bSubRace,RC_DemiHuman,-10;
bonus2 bSubRace,RC_Player_Human,-10;
bonus bAtkEle,Ele_Dark;
",,
1170,Katzbalger,Katzbalger,Weapon,2hSword,20,,2000,175,0,0,1,0,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bVit,5;
bonus bDef,10;
",,
1171,Zweihander_,Zweihander,Weapon,2hSword,20,,2200,200,0,0,1,2,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bUnbreakableWeapon;
",,
1172,Claymore_,Claymore,Weapon,2hSword,74000,,2500,180,0,0,1,2,3,,33,0,True,"Crusader, Knight",All,Both,Both_Hand,,,
1173,Muramasa_C,Muramasa,Weapon,2hSword,1,,0,204,0,0,1,0,4,,1,0,False,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bCritical,30;
bonus bAspdRate,8;
",,
1174,Executioner_C,Executioner,Weapon,2hSword,2,,0,190,0,0,1,0,4,,0,0,False,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 bAddRace,RC_DemiHuman,20;
bonus2 bAddRace,RC_Player_Human,20;
bonus2 bSubRace,RC_DemiHuman,-10;
bonus2 bSubRace,RC_Player_Human,-10;
bonus bAtkEle,Ele_Dark;
",,
1175,Altas_Weapon,Atlas Weapon,Weapon,2hSword,20,,3500,200,0,0,1,1,4,,55,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"bonus bCritical,10;
if (readparam(bStr)>=80)
   bonus bBreakArmorRate,500;
",,
1176,Muscle_Cutter,Muscle Cutter,Weapon,2hSword,20,,2200,160,0,0,1,2,4,,55,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"bonus2 bAddEff,Eff_Bleeding,800;
bonus3 bAutoSpell,""AL_DECAGI"",1,30;
",,
1177,Muramash,Muramash,Weapon,2hSword,20,,0,120,0,0,1,0,1,,0,0,False,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus2 bAddClass,Class_All,50;
",,
1178,Schweizersabel_,Schweizersabel,Weapon,2hSword,20,,1600,160,0,0,1,2,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bAtkEle,Ele_Wind;
bonus bDef,1;
bonus3 bAutoSpell,""MG_LIGHTNINGBOLT"",3,100;
",,
1179,Executioner__,Executioner,Weapon,2hSword,20,,2200,155,0,0,1,1,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bIgnoreDefRace,RC_DemiHuman;
bonus bIgnoreDefRace,RC_Player_Human;
bonus2 bAddRace,RC_DemiHuman,20;
bonus2 bAddRace,RC_Player_Human,20;
bonus2 bSubRace,RC_DemiHuman,-10;
bonus2 bSubRace,RC_Player_Human,-10;
bonus bAtkEle,Ele_Dark;
",,
1180,Dragon_Slayer_,Dragon Slayer,Weapon,2hSword,20,,1300,150,0,0,1,2,4,,48,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bIgnoreDefRace,RC_Dragon;
bonus2 bAddRace,RC_Dragon,15;
",,
1181,Tae_Goo_Lyeon,Tae Goo Lyeon,Weapon,2hSword,20,,2000,250,0,0,1,2,4,,90,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"bonus bFlee2,10;
if (JobLevel>=70)
   autobonus ""{ bonus bBaseAtk,50; }"",10,10000,BF_WEAPON,""{ specialeffect2 EF_POTION_BERSERK; }"";
if (getrefine()>8) {
   bonus bCastrate,-20;
   bonus bDelayRate,-20;
}
",,
1182,Bloody_Eater,Bloody Eater,Weapon,2hSword,20,,1200,200,0,0,1,2,4,,50,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"bonus bAtkEle,Ele_Ghost;
autobonus ""{ bonus bCritical,100; bonus bBaseAtk,50; }"",1,5000,0,""{ specialeffect2 EF_FIRESPLASHHIT; }"";
bonus bHPGainValue,100;
",,
1183,BF_Two_Handed_Sword1,Brave Assaulter's Katzbalger,Weapon,2hSword,20,,0,200,0,0,1,0,3,,80,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bStr,2;
bonus2 bAddRace,RC_DemiHuman,55;
bonus2 bAddRace,RC_Player_Human,55;
bonus2 bIgnoreDefRaceRate,RC_DemiHuman,20;
bonus2 bIgnoreDefRaceRate,RC_Player_Human,20;
bonus bUnbreakableWeapon;
",,
1184,BF_Two_Handed_Sword2,Valorous Assaulter's Katzbalger,Weapon,2hSword,20,,0,200,0,0,1,0,3,,80,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus bCritical,20;
bonus2 bAddRace,RC_DemiHuman,55;
bonus2 bAddRace,RC_Player_Human,55;
bonus bCritAtkRate,20;
bonus bUnbreakableWeapon;
",,
1185,Violet_Fear,Violet Fear,Weapon,2hSword,20,,2200,275,0,0,1,2,4,,80,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"bonus3 bAutoSpell,""WZ_METEOR"",3,30;
bonus3 bAutoSpell,""WZ_FROSTNOVA"",5,50;
autobonus ""{ bonus bIgnoreDefClass,Class_Normal; }"",50,5000;
",,
1186,Death_Guidance,Death Guidance,Weapon,2hSword,20,,2000,200,0,0,1,2,4,,70,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"bonus bStr,5;
bonus bAgi,2;
bonus bFlee2,20;
bonus3 bAutoSpell,""NPC_HELLPOWER"",1,10;
bonus4 bAutoSpell,""NPC_HELLPOWER"",1,10,0;
if (getrefine()>8)
   bonus3 bAutoSpell,""NPC_VAMPIRE_GIFT"",2,20;
else
   bonus3 bAutoSpell,""NPC_VAMPIRE_GIFT"",1,20;
",,
1187,Krieger_Twohand_Sword1,Glorious Claymore,Weapon,2hSword,20,,0,220,0,0,1,0,4,,80,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"bonus2 bAddRace,RC_DemiHuman,70;
bonus2 bAddRace,RC_Player_Human,70;
bonus2 bIgnoreDefRaceRate,RC_DemiHuman,25;
bonus2 bIgnoreDefRaceRate,RC_Player_Human,25;
bonus bUnbreakableWeapon;
if (getrefine()>5) {
   bonus2 bAddRace,RC_DemiHuman,(getrefine()-3)*(getrefine()-3);
   bonus2 bAddRace,RC_Player_Human,(getrefine()-3)*(getrefine()-3);
   bonus2 bIgnoreDefRaceRate,RC_DemiHuman,5;
   bonus2 bIgnoreDefRaceRate,RC_Player_Human,5;
}
if (getrefine()>8) {
   bonus3 bAutoSpell,""LK_CONCENTRATION"",max(getskilllv(""LK_CONCENTRATION""),1),30;
   bonus3 bAutoSpell,""LK_AURABLADE"",max(getskilllv(""LK_AURABLADE""),1),30;
}
",,
1188,Veteran_Sword,Veteran Sword,Weapon,2hSword,10000,,2000,180,0,0,1,1,4,,80,0,True,"Crusader, Knight, Swordman",All,Both,Both_Hand,"if (getskilllv(""SM_BASH"") == 10) {
   bonus2 bSkillAtk,""SM_BASH"",50;
}
if (getskilllv(""KN_BOWLINGBASH"") == 10) {
   bonus2 bSkillAtk,""KN_BOWLINGBASH"",50;
}
bonus bStr,1;
bonus bDex,1;
",,
1189,Krasnaya,Krasnaya,Weapon,2hSword,20,,3800,200,0,0,2,3,2,,50,0,True,"Crusader, Knight, Swordman",Upper,Both,Both_Hand,"if (readparam(bStr)>=95) {
   bonus bBaseAtk,20;
}
",,
1190,Claymore_C,Claymore,Weapon,2hSword,,,0,220,0,0,1,0,3,,1,0,False,"Crusader, Knight",All,Both,Both_Hand,"bonus2 bAddSize,Size_All,40;
",,
1201,Knife,Knife,Weapon,Dagger,50,,400,17,0,0,1,3,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1202,Knife_,Knife,Weapon,Dagger,50,,400,17,0,0,1,4,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1203,Knife__,Knife,Weapon,Dagger,50,,400,17,0,0,1,0,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1204,Cutter,Cutter,Weapon,Dagger,1250,,500,30,0,0,1,3,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1205,Cutter_,Cutter,Weapon,Dagger,1250,,500,30,0,0,1,4,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1206,Cutter__,Cutter,Weapon,Dagger,1250,,500,30,0,0,1,0,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1207,Main_Gauche,Main Gauche,Weapon,Dagger,2400,,600,43,0,0,1,3,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1208,Main_Gauche_,Main Gauche,Weapon,Dagger,2400,,600,43,0,0,1,4,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
1209,Main_Gauche__,Main Gauche,Weapon,Dagger,2400,,600,43,0,0,1,0,1,,1,0,True,"Alchemist, Archer, Assassin, BardDancer, Blacksmith, Crusader, Hunter, Knight, Mage, Merchant, Ninja, Novice, Rogue, Sage, SoulLinker, SuperNovice, Swordman, Thief, Wizard",All,Both,Right_Hand,,,
